Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,150,-107.475,90,top
C2,0.1uF,C_0603_1608Metric,151.9,-107.4875,90,top
C3,1uF,C_0603_1608Metric,153.8,-107.4875,90,top
C4,10uF,C_0603_1608Metric,158,-105.3,180,top
C6,10uF,C_0603_1608Metric,165.1,-93.98,180,top
C8,0.1uF,C_0603_1608Metric,165.1,-97.536,180,top
C9,0.1uF,C_0603_1608Metric,183.0375,-87.4,0,top
C10,0.1uF,C_0603_1608Metric,172.1875,-89.1,180,top
C11,0.1uF,C_0603_1608Metric,177.6,-81.4125,90,top
C12,0.1uF,C_0603_1608Metric,183.1375,-84.3,0,top
C13,10uF,C_0603_1608Metric,141.2625,-78.85,0,top
C14,1uF,C_0603_1608Metric,141.2625,-77.3,0,top
C16,1uF,C_0603_1608Metric,183.1375,-82.75,0,top
C17,1uF,C_0603_1608Metric,183.0375,-90.6,0,top
D2,GRN,D_0603_1608Metric,151.7,-111.2625,90,top
FB1,Ferrite_Bead,L_0603_1608Metric,165.1,-95.758,180,top
J1,10118192-0001LF,USB_Micro_B_Female_10118192,145.15,-114.6,0,top
Q1,Q_NMOS_GSD,SOT-23-3,142.255001,-97.16,180,top
Q2,Q_NMOS_GSD,SOT-23-3,146.955001,-97.16,180,top
Q3,Q_NMOS_GSD,SOT-23-3,151.9,-97.125,180,top
R0,0,R_0603_1608Metric,148.25,-107.475,90,top
R2,470,R_0603_1608Metric,153.8,-111.2875,270,top
R3,100,R_0603_1608Metric,179.15,-81.4125,90,top
R4,100,R_0603_1608Metric,180.7,-81.4125,90,top
R5,10K,R_0603_1608Metric,172.2,-84.45,0,top
R6,10K,R_0603_1608Metric,172.2,-87.55,0,top
R7,10K,R_0603_1608Metric,172.2,-86,0,top
R8,10K,R_0603_1608Metric,176.05,-81.4125,90,top
R9,12.1K,R_0603_1608Metric,183.0375,-88.95,0,top
R10,49.9,R_0603_1608Metric,176.2,-93.45,90,top
R11,49.9,R_0603_1608Metric,173.85,-93.45,90,top
R12,49.9,R_0603_1608Metric,181.3,-93.45,90,top
R13,49.9,R_0603_1608Metric,179,-93.45,90,top
R14,270,R_0603_1608Metric,165.862,-112.8015,270,top
R15,270,R_0603_1608Metric,165.8,-107.9125,90,top
R16,10K,R_0603_1608Metric,141.2625,-80.4,180,top
R17,100,R_0603_1608Metric,164.55,-87.65,270,top
R18,100,R_0603_1608Metric,164.55,-83.9375,270,top
R19,100,R_0603_1608Metric,164.55,-80.45,270,top
R20,100,R_0603_1608Metric,164.95,-90.7,180,top
R21,100,R_0603_1608Metric,174.5,-81.4125,90,top
R22,47,R_0603_1608Metric,141.125,-89.625,0,top
R23,47,R_0603_1608Metric,141.125,-88,0,top
R24,82,R_0603_1608Metric,141.125,-91.225,0,top
R25,10K,R_0603_1608Metric,145.4,-104.3625,270,top
U1,AZ1117-3.3,SOT-223,158.85,-111,270,top
U2,LAN8720A,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,177.55,-86.55,90,top
U3,ESP32-WROOM-32D,ESP32-WROOM-32,152.9,-84.45,0,top
